 Iter cont_resid imp_resid energy_resid
3600 0.542431 0.320416 0.355191
3610 0.556350 0.306492 0.365406
3620 0.565057 0.299718 0.371956
3630 0.568644 0.290629 0.374609
3640 0.566978 0.281445 0.373015
3650 0.559736 0.279064 0.366665
3660 0.546635 0.279884 0.356080
3670 0.528103 0.284761 0.340547
3680 0.507531 0.291159 0.322665
3690 0.486691 0.288712 0.303985
3700 0.470227 0.274139 0.288111
3710 0.460965 0.248127 0.279222
3720 0.459564 0.214553 0.277308
3730 0.464506 0.199512 0.280970
3740 0.472715 0.209899 0.287775
3750 0.481356 0.223117 0.294968
3760 0.489817 0.236215 0.302041
3770 0.495252 0.247312 0.307666
3780 0.497963 0.254886 0.310041
3790 0.494675 0.263211 0.307750
3800 0.484994 0.269112 0.300395
3810 0.469335 0.272648 0.288303
3820 0.448286 0.273312 0.272104
3830 0.423999 0.269589 0.253045
3840 0.399666 0.261358 0.234843
3850 0.382633 0.249574 0.222131
3860 0.365549 0.238247 0.208617
3870 0.361800 0.229174 0.197752
3880 0.373315 0.218944 0.206379
3890 0.383347 0.206186 0.215074
3900 0.388891 0.192753 0.220126
3910 0.390704 0.178843 0.221868
3920 0.385584 0.166430 0.219237
3930 0.379293 0.160484 0.215326
3940 0.372319 0.161209 0.209719
3950 0.362096 0.164413 0.202749
3960 0.352941 0.166894 0.196796
3970 0.345447 0.168525 0.190920
3980 0.337677 0.169061 0.185743
3990 0.335304 0.167504 0.184010
4000 0.332904 0.164825 0.183326
4010 0.329629 0.161308 0.182582
4020 0.329244 0.157488 0.182492
4030 0.324650 0.153882 0.180453
4040 0.322281 0.151027 0.179267
4050 0.317871 0.148349 0.176773
4060 0.312626 0.146811 0.173868
4070 0.308664 0.145285 0.171871
4080 0.302629 0.144401 0.169211
4090 0.300794 0.143525 0.167933
4100 0.295551 0.142512 0.165530
4110 0.293927 0.141812 0.164467
4120 0.289465 0.140571 0.162261
4130 0.287067 0.139945 0.161111
4140 0.283024 0.138551 0.158952
4150 0.280253 0.137782 0.157323
4160 0.276685 0.136383 0.155185
4170 0.273367 0.135467 0.153263
4180 0.270170 0.134121 0.151310
4190 0.266862 0.133244 0.149372
4200 0.264391 0.132049 0.147339
4210 0.261364 0.131085 0.145529
4220 0.258913 0.129647 0.143127
4230 0.256030 0.128405 0.141147
4240 0.253883 0.127035 0.138881
4250 0.251760 0.125801 0.137369
4260 0.249848 0.124391 0.135602
4270 0.248459 0.122901 0.134724
4280 0.247218 0.121383 0.133062
4290 0.246698 0.120173 0.132580
4300 0.245255 0.118845 0.131096
4310 0.244883 0.117419 0.130588
4320 0.243093 0.116078 0.129517
4330 0.243187 0.114772 0.129306
4340 0.241790 0.113777 0.128314
4350 0.240852 0.112532 0.127520
4360 0.239386 0.111457 0.126743
4370 0.238333 0.110628 0.126119
4380 0.236643 0.109816 0.124755
4390 0.235130 0.108978 0.124126
4400 0.233400 0.108450 0.122965
4410 0.231755 0.107676 0.121664
4420 0.229727 0.107370 0.120991
4430 0.228231 0.106779 0.119797
4440 0.225806 0.106502 0.118856
4450 0.224748 0.106313 0.117900
4460 0.221801 0.105913 0.116874
4470 0.220989 0.105773 0.116048
4480 0.218393 0.105097 0.114726
4490 0.217138 0.104435 0.113964
4500 0.214799 0.103628 0.112479
4510 0.213297 0.102377 0.111490
4520 0.211033 0.101320 0.109973
4530 0.209591 0.100594 0.108436
4540 0.207113 0.100560 0.106863
4550 0.206021 0.101096 0.105237
4560 0.203273 0.102154 0.103477
4570 0.201609 0.102532 0.101796
4580 0.199495 0.102268 0.100480
4590 0.197309 0.101329 0.099032
4600 0.196124 0.099696 0.098885
4610 0.194504 0.097500 0.098554
4620 0.193995 0.094493 0.098762
4630 0.193121 0.090937 0.099641
4640 0.193739 0.087220 0.102032
4650 0.194326 0.083443 0.104890
4660 0.194508 0.079846 0.107319
4670 0.197156 0.078044 0.110153
4680 0.199478 0.076159 0.112640
4690 0.201594 0.073966 0.114889
4700 0.203503 0.071734 0.116575
4710 0.205358 0.069769 0.117510
4720 0.206815 0.068229 0.118827
4730 0.207174 0.066796 0.119134
4740 0.207021 0.065186 0.118644
4750 0.206352 0.064181 0.118675
4760 0.204957 0.063456 0.117720
4770 0.203226 0.063058 0.116241
4780 0.201701 0.062792 0.114497
4790 0.200746 0.062693 0.112875
4800 0.200137 0.062921 0.112325
4810 0.198692 0.064531 0.111511
4820 0.196116 0.066591 0.110264
4830 0.193886 0.068507 0.108790
4840 0.191266 0.070197 0.107001
4850 0.187476 0.071868 0.104883
4860 0.183546 0.073626 0.102213
4870 0.178856 0.075947 0.098828
4880 0.173922 0.080338 0.095318
4890 0.168684 0.084078 0.091526
4900 0.162692 0.087152 0.087121
4910 0.156041 0.089602 0.082593
4920 0.149943 0.091753 0.077646
4930 0.143457 0.094223 0.072754
4940 0.136400 0.096902 0.067884
4950 0.129647 0.099176 0.063215
4960 0.124006 0.100806 0.059218
4970 0.119822 0.101633 0.055906
4980 0.117640 0.101673 0.054747
4990 0.117837 0.100893 0.055261
5000 0.119273 0.099346 0.057027
5010 0.121209 0.097116 0.059417
5020 0.123545 0.094344 0.061611
5030 0.126116 0.091128 0.063533
5040 0.128500 0.088190 0.065354
5050 0.130648 0.088218 0.066803
5060 0.132080 0.087990 0.068014
5070 0.133696 0.087498 0.068932
5080 0.134878 0.086786 0.069990
5090 0.135334 0.085888 0.070986
5100 0.135419 0.084757 0.071496
5110 0.135431 0.083452 0.071663
5120 0.134814 0.082059 0.071869
5130 0.134046 0.080603 0.071662
5140 0.132922 0.079107 0.071266
5150 0.132097 0.077589 0.070753
5160 0.131287 0.076066 0.070183
5170 0.130298 0.074550 0.069429
5180 0.129866 0.073050 0.068431
5190 0.129499 0.071575 0.067643
5200 0.129235 0.070129 0.067048
5210 0.128758 0.068716 0.066749
5220 0.128935 0.067338 0.066422
5230 0.128974 0.066011 0.066459
5240 0.128975 0.064719 0.066481
5250 0.129078 0.063466 0.066515
5260 0.129463 0.062245 0.066575
5270 0.129679 0.061068 0.066871
5280 0.129951 0.059963 0.066992
5290 0.130279 0.058874 0.067202
5300 0.130691 0.057817 0.067425
5310 0.130980 0.056767 0.067695
5320 0.131218 0.055728 0.067882
5330 0.131697 0.054732 0.068058
5340 0.132068 0.053775 0.068367
5350 0.132251 0.052827 0.068538
5360 0.132798 0.051956 0.068719
5370 0.133050 0.051119 0.068959
5380 0.133425 0.050316 0.069096
5390 0.133841 0.049667 0.069235
5400 0.134329 0.049113 0.069418
5410 0.134484 0.048658 0.069473
5420 0.134844 0.048193 0.069678
5430 0.134963 0.047587 0.069664
5440 0.135180 0.046893 0.069793
5450 0.135212 0.046069 0.069853
5460 0.135196 0.045109 0.070012
5470 0.135428 0.044029 0.070153
5480 0.135235 0.042793 0.070259
5490 0.135502 0.041437 0.070626
5500 0.135587 0.039983 0.070936
5510 0.135537 0.038393 0.071239
5520 0.135986 0.036717 0.071877
5530 0.136212 0.035035 0.072373
5540 0.136447 0.034228 0.073001
5550 0.136995 0.033666 0.073807
5560 0.137507 0.033059 0.074603
5570 0.137903 0.032323 0.075461
5580 0.138519 0.031439 0.076249
5590 0.139170 0.030458 0.077270
5600 0.139783 0.029443 0.078144
5610 0.140206 0.028170 0.079054
5620 0.140890 0.026567 0.079801
5630 0.141379 0.024648 0.080638
5640 0.141936 0.022433 0.081353
5650 0.142028 0.019960 0.081993
5660 0.142348 0.017615 0.082460
5670 0.142437 0.016321 0.082794
5680 0.142484 0.015497 0.082993
5690 0.142346 0.014983 0.083008
5700 0.141934 0.015166 0.082994
5710 0.141418 0.016300 0.082749
5720 0.140761 0.017649 0.082362
5730 0.139771 0.019138 0.081831
5740 0.138775 0.020661 0.081126
5750 0.137509 0.022032 0.080236
5760 0.136209 0.023357 0.079168
5770 0.134689 0.024525 0.077935
5780 0.132966 0.025644 0.076546
5790 0.131053 0.026596 0.075016
5800 0.128969 0.027487 0.073357
5810 0.126730 0.028227 0.071583
5820 0.124355 0.028889 0.069710
5830 0.121864 0.029554 0.067753
5840 0.119277 0.030288 0.065727
5850 0.116601 0.030839 0.063642
5860 0.113870 0.031246 0.061522
5870 0.111113 0.031491 0.059382
5880 0.108413 0.031591 0.057238
5890 0.106002 0.031577 0.055106
5900 0.104021 0.031478 0.053001
5910 0.102535 0.031306 0.050936
5920 0.101524 0.031067 0.049399
5930 0.100925 0.030761 0.048522
5940 0.100655 0.030385 0.048091
5950 0.100629 0.029933 0.047985
5960 0.100780 0.029399 0.048103
5970 0.101043 0.028795 0.048370
5980 0.101379 0.028105 0.048740
5990 0.101744 0.027385 0.049160
6000 0.102114 0.026608 0.049595
6010 0.102468 0.025775 0.050024
6020 0.102789 0.024891 0.050434
6030 0.103051 0.023964 0.050808
6040 0.103246 0.023007 0.051129
6050 0.103386 0.022020 0.051408
6060 0.103448 0.021076 0.051626
6070 0.103462 0.020141 0.051801
6080 0.103395 0.019467 0.051913
6090 0.103276 0.019112 0.051983
6100 0.103080 0.018907 0.051995
6110 0.102842 0.018777 0.051961
6120 0.102522 0.018701 0.051885
6130 0.102180 0.018726 0.051757
6140 0.101764 0.018784 0.051595
6150 0.101282 0.018835 0.051378
6160 0.100739 0.018882 0.051111
6170 0.100136 0.018948 0.050808
6180 0.099526 0.018995 0.050485
6190 0.098856 0.019019 0.050126
6200 0.098127 0.019112 0.049812
6210 0.097415 0.019229 0.049501
6220 0.096834 0.019329 0.049187
6230 0.096300 0.019405 0.048905
6240 0.095754 0.019444 0.048702
6250 0.095543 0.019527 0.048488
6260 0.095483 0.019595 0.048416
6270 0.095621 0.019652 0.048353
6280 0.095889 0.019862 0.048258
6290 0.096120 0.020057 0.048183
6300 0.096639 0.020249 0.048307
6310 0.097158 0.020456 0.048423
6320 0.097526 0.020770 0.048493
6330 0.097813 0.021037 0.048541
6340 0.098242 0.021240 0.048748
6350 0.098895 0.021381 0.048995
6360 0.099413 0.021528 0.049189
6370 0.099793 0.021685 0.049325
6380 0.100029 0.021888 0.049404
6390 0.100377 0.022074 0.049618
6400 0.100942 0.022183 0.049842
6410 0.101305 0.022218 0.049975
6420 0.101460 0.022170 0.050020
6430 0.101405 0.022050 0.049962
6440 0.101142 0.021851 0.049813
6450 0.101396 0.021780 0.049964
6460 0.101584 0.021672 0.049978
6470 0.101509 0.021576 0.049854
6480 0.101355 0.021377 0.049540
6490 0.101006 0.021097 0.049198
6500 0.100434 0.020737 0.048813
6510 0.100046 0.020298 0.048703
6520 0.100040 0.019991 0.048575
6530 0.099784 0.019647 0.048315
6540 0.099379 0.019219 0.047925
6550 0.098865 0.018712 0.047419
6560 0.098166 0.018130 0.046861
6570 0.097175 0.017464 0.046241
6580 0.095892 0.016745 0.045644
6590 0.095294 0.016029 0.045316
6600 0.094456 0.015600 0.044843
6610 0.093336 0.015344 0.044224
6620 0.091979 0.015136 0.043474
6630 0.091067 0.014988 0.042608
6640 0.090002 0.014949 0.041882
6650 0.088764 0.015053 0.041168
6660 0.087376 0.015111 0.040381
6670 0.085859 0.015124 0.039590
6680 0.084781 0.015096 0.039059
6690 0.083764 0.015015 0.038410
6700 0.082638 0.014929 0.037714
6710 0.081389 0.015092 0.036984
6720 0.080035 0.015207 0.036207
6730 0.078827 0.015276 0.035393
6740 0.077689 0.015303 0.034628
6750 0.076490 0.015289 0.033973
6760 0.075289 0.015239 0.033297
6770 0.074105 0.015156 0.032638
6780 0.072888 0.015041 0.031986
6790 0.071646 0.014910 0.031326
6800 0.070387 0.014850 0.030736
6810 0.069404 0.014780 0.030264
6820 0.068592 0.014689 0.029773
6830 0.067745 0.014652 0.029270
6840 0.066942 0.014600 0.028757
6850 0.066214 0.014540 0.028282
6860 0.065520 0.014475 0.027807
6870 0.064808 0.014476 0.027394
6880 0.064039 0.014446 0.026969
6890 0.063252 0.014396 0.026543
6900 0.062466 0.014330 0.026164
6910 0.061684 0.014252 0.025832
6920 0.060907 0.014162 0.025568
6930 0.060157 0.014063 0.025340
6940 0.059525 0.013962 0.025139
6950 0.058925 0.013872 0.024992
6960 0.058330 0.013792 0.024865
