 Iter cont_resid imp_resid energy_resid
2430 0.747804 0.930578 0.650161
2440 0.745124 0.942082 0.648405
2450 0.742280 0.954082 0.645836
2460 0.735548 0.966545 0.644490
2470 0.729003 0.979685 0.642401
2480 0.723625 0.993573 0.640813
2490 0.718508 1.008193 0.640256
2500 0.710523 1.023761 0.640973
2510 0.701096 1.047167 0.637428
2520 0.690969 1.071282 0.627076
2530 0.675424 1.089314 0.610370
2540 0.649159 1.099588 0.587719
2550 0.615892 1.105862 0.559249
2560 0.587606 1.103082 0.544432
2570 0.585006 1.135200 0.554257
2580 0.582832 1.140745 0.569811
2590 0.564560 1.144513 0.549453
2600 0.539373 1.197667 0.531911
2610 0.578878 1.159829 0.584794
2620 0.611697 1.114962 0.633135
2630 0.642337 1.126214 0.648343
2640 0.651987 1.149533 0.659363
2650 0.660275 1.160925 0.653118
2660 0.697039 1.107755 0.704708
2670 0.709363 1.145259 0.705959
2680 0.718627 1.127607 0.717272
2690 0.714504 1.153602 0.697428
2700 0.765582 1.083574 0.752660
2710 0.772421 1.123252 0.769426
2720 0.778354 1.084780 0.767666
2730 0.783954 1.134801 0.782404
2740 0.804333 1.062328 0.807372
2750 0.815171 1.080231 0.818311
2760 0.828345 1.076469 0.840444
2770 0.809987 1.068936 0.810598
2780 0.824540 1.021249 0.854034
2790 0.821942 1.028679 0.850105
2800 0.821555 0.974880 0.844108
2810 0.812671 0.993492 0.837255
2820 0.812701 0.946688 0.833285
2830 0.806645 0.938841 0.830950
2840 0.787585 0.964987 0.814269
2850 0.748687 0.962619 0.765318
2860 0.733496 0.997421 0.766130
2870 0.717838 1.004494 0.746981
2880 0.693353 0.996957 0.715517
2890 0.656158 0.987454 0.681165
2900 0.614831 0.963641 0.634029
2910 0.570774 0.913286 0.582172
2920 0.546168 0.885983 0.548816
2930 0.596843 0.815056 0.575389
2940 0.628737 0.746200 0.612729
2950 0.616952 0.707799 0.601127
2960 0.541104 0.807106 0.519906
2970 0.446463 0.840810 0.408189
2980 0.502689 0.803248 0.448729
2990 0.591580 0.692458 0.541104
3000 0.608082 0.601206 0.564573
3010 0.544135 0.664872 0.490444
3020 0.460696 0.763283 0.385607
3030 0.503670 0.742910 0.412198
3040 0.586002 0.641230 0.495887
3050 0.591251 0.592773 0.507241
3060 0.516824 0.638066 0.431978
3070 0.494958 0.714253 0.407966
3080 0.536608 0.688010 0.434126
3090 0.586611 0.620766 0.481193
3100 0.582296 0.591841 0.474676
3110 0.557745 0.591917 0.451933
3120 0.548744 0.642297 0.438763
3130 0.536327 0.656810 0.431574
3140 0.544468 0.657472 0.436860
3150 0.576655 0.627067 0.460032
3160 0.605701 0.563185 0.489115
3170 0.603891 0.548032 0.483292
3180 0.568407 0.607861 0.445101
3190 0.545664 0.638320 0.423041
3200 0.574412 0.632162 0.458662
3210 0.600681 0.593958 0.485378
3220 0.599222 0.556539 0.480656
3230 0.586822 0.562036 0.463031
3240 0.585134 0.570514 0.458512
3250 0.585049 0.580501 0.457736
3260 0.588389 0.594327 0.464247
3270 0.594926 0.570728 0.473182
3280 0.605115 0.557972 0.481716
3290 0.609440 0.548460 0.485816
3300 0.598254 0.537231 0.473359
3310 0.580929 0.560573 0.452127
3320 0.582690 0.560819 0.452636
3330 0.595142 0.544684 0.468748
3340 0.606210 0.539944 0.480522
3350 0.603960 0.532504 0.478823
3360 0.601986 0.525670 0.476803
3370 0.603333 0.532349 0.474618
3380 0.597528 0.529226 0.469026
3390 0.587304 0.529053 0.458406
3400 0.588153 0.528406 0.458237
3410 0.594098 0.518020 0.464970
3420 0.601215 0.510392 0.473605
3430 0.602537 0.506780 0.473901
3440 0.598278 0.506277 0.470374
3450 0.596239 0.508883 0.467731
3460 0.592708 0.509513 0.464229
3470 0.592502 0.504457 0.463936
3480 0.589142 0.497581 0.458845
3490 0.586307 0.492299 0.455243
3500 0.585168 0.490640 0.456378
3510 0.590286 0.488304 0.460351
3520 0.589402 0.488461 0.459116
3530 0.583184 0.493138 0.453458
3540 0.574648 0.493810 0.447809
3550 0.583282 0.487956 0.453206
3560 0.582650 0.483663 0.453264
3570 0.576514 0.479604 0.444523
3580 0.571560 0.474608 0.440798
3590 0.577539 0.475556 0.444758
3600 0.570039 0.478924 0.439378
3610 0.557300 0.479949 0.430493
3620 0.560629 0.477576 0.432281
3630 0.565234 0.472276 0.434255
3640 0.558083 0.470530 0.430224
3650 0.555278 0.467734 0.430220
3660 0.559184 0.461390 0.429967
3670 0.554663 0.459283 0.426320
3680 0.547540 0.460694 0.421964
3690 0.546952 0.459677 0.419242
3700 0.545455 0.457570 0.419267
3710 0.543281 0.458494 0.418972
3720 0.541417 0.455635 0.416304
3730 0.542962 0.452690 0.418077
3740 0.543727 0.451130 0.421869
3750 0.540106 0.447937 0.416126
3760 0.538863 0.446708 0.413237
3770 0.538287 0.446942 0.415065
3780 0.536047 0.447160 0.410985
3790 0.532775 0.447728 0.410233
3800 0.534952 0.448411 0.411518
3810 0.528773 0.449361 0.408779
3820 0.526251 0.448703 0.410366
3830 0.532564 0.444599 0.411441
3840 0.524999 0.446987 0.406109
3850 0.523774 0.443041 0.405000
3860 0.528502 0.440806 0.408289
3870 0.517535 0.444830 0.400190
3880 0.525316 0.439251 0.405052
3890 0.524501 0.441103 0.409586
3900 0.515436 0.442218 0.401360
3910 0.521307 0.435957 0.406133
3920 0.519333 0.438153 0.405972
3930 0.523086 0.437320 0.405807
3940 0.521894 0.437720 0.405804
3950 0.521448 0.436926 0.402977
3960 0.518625 0.440719 0.400645
3970 0.516911 0.442274 0.396956
3980 0.509478 0.439863 0.389852
3990 0.495006 0.437413 0.375570
